aa    a: 
aai    a: i: 
aak    a: k 
aam    a: m 
aan    a: n 
aang    a: N 
aap    a: p 
aat    a: t 
aau    a: u: 
ai    a i: 
ak    a k 
am    a m 
an    a n 
ang    a N 
at    a t 
au    a u: 
baa    p a: 
baai    p a: i: 
baak    p a: k 
baan    p a: n 
baap    p a: p 
baat    p a: t 
baau    p a: u: 
bai    p a i: 
bak    p a k 
bam    p a m 
ban    p a n 
bang    p a N 
bat    p a t 
be    p E: 
bei    p e i: 
ben    p E: N 
beng    p E: N 
bik    p I k 
bin    p i: n 
bing    p I N 
bit    p i: t 
biu    p i: u:
bi     p i:
bo    p O: 
bok    p O: k 
cok    ts_h O: k
bon    p O: k 
bong    p O: N 
bou    p o u: 
bu    p u: 
bui    p u: i: 
buk    p U k 
bum    p u: n 
bun    p u: n 
bung    p U N 
ung		U N
but    p u: t 
caa    ts_h a: 
caai    ts_h a: i: 
caak    ts_h a: k 
caam    ts_h a: m 
caan    ts_h a: n 
caang    ts_h a: N 
caap    ts_h a: p 
caat    ts_h a: t 
caau    ts_h a: u: 
cai    ts_h a i: 
cak    ts_h a k 
cam    ts_h a m 
can    ts_h a n 
cang    ts_h a N 
cap    ts_h a p 
cat    ts_h a t 
cau    ts_h a u: 
ce    ts_h E: 
cek    ts_h E: k 
ceng    ts_h E: N 
ceoi    ts_h eo i: 
ceon    ts_h eo n 
ceot    ts_h eo t 
cet    ts_h E: k 
ci    ts_h i: 
cik    ts_h I k 
cim    ts_h i: m 
cin    ts_h i: n 
cing    ts_h I N 
cip    ts_h i: p 
cit    ts_h i: t 
ciu    ts_h i: u: 
co    ts_h O: 
coe    ts_h oe 
coek    ts_h oe k 
coen    ts_h oe N 
coeng    ts_h oe N 
coi    ts_h O: i: 
con    ts_h O: n 
cong    ts_h O: N 
cou    ts_h o u: 
cuk    ts_h U k 
cung    ts_h U N 
cyu    ts_h y: 
cyum    ts_h y: n 
cyun    ts_h y: n 
cyut    ts_h y: t 
daa    t a: 
daai    t a: i: 
daak    t a: k 
daam    t a: m 
daan    t a: n 
daang    t a: N 
daap    t a: p 
daat    t a: t 
dai    t a i: 
dak    t a k 
dam    t a m 
dan    t a n 
dang    t a N 
dap    t a p 
dat    t a t 
dau    t a u: 
de    t E: 
dei    t e i: 
dek    t E: k 
deng    t E: N 
deoi    t eo i: 
deon    t eo n 
di    t i: 
dik    t I k 
dim    t i: m 
din    t i: n 
ding    t I N 
dip    t i: p 
dit    t i: t 
diu    t i: u: 
do    t O: 
